EPOCH_TIME_yyyy-mm-ddThh:mm:ss.sssZ,HELIOGRAPHIC_LATITUDE_deg,HELIOGRAPHIC_LONGITUDE_deg,BR_(RTN)_nT,BT_(RTN)_nT,BN_(RTN)_nT,FIELD_MAGNITUDE_AVG._nT,BULK_FLOW_SPEED_km/s,ELEVATION_ANGLE_Deg,AZIMUTH_ANGLE_Deg,ION_DENSITY_N/cm3,TEMPERATURE_Deg_K
 2019-10-05T00:00:00.000Z,6.6,294.4,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,403,1.3,-2.6,3.8,64969
 2019-10-05T01:00:00.000Z,6.6,294.5,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,400,0.8,-2.9,3.9,61959
 2019-10-05T02:00:00.000Z,6.6,294.5,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,401,0.9,-2.9,3.7,62171
 2019-10-05T03:00:00.000Z,6.6,294.5,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,397,1.1,-2.7,3.8,54385
 2019-10-05T04:00:00.000Z,6.6,294.6,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,385,1.6,-3.1,4.1,55388
 2019-10-05T05:00:00.000Z,6.6,294.6,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,374,2.5,-3.1,4.2,48220
 2019-10-05T06:00:00.000Z,6.6,294.7,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,372,1,-3.7,4.8,50469
 2019-10-05T07:00:00.000Z,6.6,294.7,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,384,-1.1,-2.3,7.8,62845
 2019-10-05T08:00:00.000Z,6.6,294.8,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,400,-0.2,-1.3,8.4,52532
 2019-10-05T09:00:00.000Z,6.6,294.8,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,391,-0.6,-1.3,8.2,44776
 2019-10-05T10:00:00.000Z,6.6,294.8,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,375,-1.2,-1.2,9.4,53199
 2019-10-05T11:00:00.000Z,6.6,294.9,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,382,-2.5,0.1,9.7,46656
 2019-10-05T12:00:00.000Z,6.6,294.9,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,377,-2.9,0.1,9.4,45934
 2019-10-05T13:00:00.000Z,6.6,295,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,381,-2.6,0.2,9.1,50280
 2019-10-05T14:00:00.000Z,6.6,295,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,382,-2.6,-0.9,8.7,56297
 2019-10-05T15:00:00.000Z,6.6,295,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,377,-3.5,-1,9.2,57391
 2019-10-05T16:00:00.000Z,6.6,295.1,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,378,-2.3,-0.5,9.1,67927
 2019-10-05T17:00:00.000Z,6.6,295.1,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,380,-1.9,-1.4,9.2,82222
 2019-10-05T18:00:00.000Z,6.6,295.2,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,390,0.8,-1.1,8,70654
 2019-10-05T19:00:00.000Z,6.6,295.2,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,387,0.2,-0.2,8.9,79662
 2019-10-05T20:00:00.000Z,6.6,295.3,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,388,-1.8,-0.3,9.5,75297
 2019-10-05T21:00:00.000Z,6.6,295.3,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,385,-3.6,-0.5,11,72448
 2019-10-05T22:00:00.000Z,6.6,295.3,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,383,-4.3,0.9,11.5,69505
 2019-10-05T23:00:00.000Z,6.6,295.4,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,380,-4.3,0.8,10,63078
 2019-10-06T00:00:00.000Z,6.6,295.4,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,395,-3.4,1.3,7.5,81395
